Abbey Road,The Beatles,856432
Thriller,Michael Jackson,789234
The Dark Side of the Moon,Pink Floyd,745678
Back in Black,AC/DC,698765
Rumours,Fleetwood Mac,654321
Hotel California,Eagles,612345
Led Zeppelin IV,Led Zeppelin,587654
Nevermind,Nirvana,543210
Born to Run,Bruce Springsteen,512345
Purple Rain,Prince,487654
OK Computer,Radiohead,465432
The Wall,Pink Floyd,445678
Sgt. Pepper's,The Beatles,432109
Kind of Blue,Miles Davis,421098
What's Going On,Marvin Gaye,412345
Pet Sounds,The Beach Boys,398765
Blonde on Blonde,Bob Dylan,387654
Blood on the Tracks,Bob Dylan,376543
London Calling,The Clash,365432
Exile on Main St.,The Rolling Stones,354321
